definir_course 15
inscrire_skieur Worley France
inscrire_skieur Shiffrin USA
inscrire_skieur Brigone Italie
inscrire_skieur Mowinckel Norvege
inscrire_skieur Rebensburg Allemagne
inscrire_skieur Bassino Italie
inscrire_skieur Hansdotter Suede
inscrire_skieur Moelgg Italie
inscrire_skieur Fenninger Autriche
inscrire_skieur Goggia Italie
inscrire_skieur Vonn USA
inscrire_skieur Holdener Suisse
inscrire_skieur Weirather Liechtenstein
inscrire_skieur Fanchini Italie
inscrire_skieur Gisin Suisse
inscrire_skieur Rebensburg Allemagne
inscrire_skieur Vlhova Slovaquie
inscrire_skieur Curtoni Italie
inscrire_skieur Ferk Slovenie
inscrire_skieur Hansdotter Suede
inscrire_skieur Johnson USA
inscrire_skieur Gut Suisse
inscrire_skieur Suter Suisse
inscrire_skieur Shild Autriche
inscrire_skieur Alphand France
enregistrer_temps 1288.19 12 110
enregistrer_temps 1304.48 13 110
enregistrer_temps 1320 0 112
enregistrer_temps 1323.03 14 110
enregistrer_temps 1337.22 1 112
enregistrer_temps 1341.51 15 110
enregistrer_temps 1355.88 2 112
enregistrer_temps 1373.87 3 112
enregistrer_temps 1389.6 4 112
enregistrer_temps 1409.28 5 112
enregistrer_temps 1428.15 6 112
enregistrer_temps 1440 0 113
enregistrer_temps 1446.61 7 112
enregistrer_temps 1458.68 1 113
enregistrer_temps 1464.28 8 112
enregistrer_temps 1475.12 2 113
enregistrer_temps 1480.99 9 112
enregistrer_temps 1490.75 3 113
enregistrer_temps 1498.84 10 112
enregistrer_temps 1509.29 4 113
enregistrer_temps 1516.27 11 112
enregistrer_temps 1525.6 5 113
enregistrer_temps 1534.21 12 112
disqualification 6 113 
afficher_classement 6
enregistrer_temps 1551.62 13 112
enregistrer_temps 1560 0 114
enregistrer_temps 1567.98 14 112
enregistrer_temps 1577.5 1 114
enregistrer_temps 1585.31 15 112
enregistrer_temps 1594.72 2 114
enregistrer_temps 1611.9 3 114
enregistrer_temps 1629.99 4 114
enregistrer_temps 1647.52 5 114
enregistrer_temps 1666.59 6 114
enregistrer_temps 1680 0 115
enregistrer_temps 1686.17 7 114
enregistrer_temps 1696.08 1 115
enregistrer_temps 1702.21 8 114
enregistrer_temps 1715.31 2 115
enregistrer_temps 1720.68 9 114
enregistrer_temps 1731.05 3 115
enregistrer_temps 1740.12 10 114
enregistrer_temps 1750.54 4 115
enregistrer_temps 1757.92 11 114
enregistrer_temps 1767.62 5 115
enregistrer_temps 1774.46 12 114
enregistrer_temps 1787.1 6 115
enregistrer_temps 1794.18 13 114
enregistrer_temps 1800 0 116
enregistrer_temps 1804.4 7 115
enregistrer_temps 1810.01 14 114
enregistrer_temps 1818.91 1 116
enregistrer_temps 1820.37 8 115
enregistrer_temps 1826.19 15 114
enregistrer_temps 1837.28 2 116
enregistrer_temps 1839.36 9 115
enregistrer_temps 1853.07 3 116
enregistrer_temps 1858.35 10 115
enregistrer_temps 1871.46 4 116
enregistrer_temps 1876.21 11 115
enregistrer_temps 1890.75 5 116
enregistrer_temps 1894.83 12 115
enregistrer_temps 1907.65 6 116
enregistrer_temps 1910.51 13 115
enregistrer_temps 1920 0 117
enregistrer_temps 1925.88 7 116
enregistrer_temps 1929.79 14 115
enregistrer_temps 1935.85 1 117
enregistrer_temps 1944.65 8 116
enregistrer_temps 1949.66 15 115
enregistrer_temps 1953.59 2 117
enregistrer_temps 1963.33 9 116
enregistrer_temps 1972.01 3 117
enregistrer_temps 1981.78 10 116
enregistrer_temps 1991.35 4 117
enregistrer_temps 1998.19 11 116
enregistrer_temps 2009.31 5 117
enregistrer_temps 2014.81 12 116
enregistrer_temps 2026.94 6 117
enregistrer_temps 2034.15 13 116
enregistrer_temps 2040 0 118
enregistrer_temps 2042.78 7 117
enregistrer_temps 2049.43 14 116
enregistrer_temps 2056.73 1 118
enregistrer_temps 2059.24 8 117
enregistrer_temps 2065.25 15 116
enregistrer_temps 2071.98 2 118
enregistrer_temps 2077.83 9 117
enregistrer_temps 2089.09 3 118
enregistrer_temps 2097.44 10 117
enregistrer_temps 2107.5 4 118
enregistrer_temps 2115.47 11 117
enregistrer_temps 2126.1 5 118
enregistrer_temps 2135.47 12 117
enregistrer_temps 2145.75 6 118
enregistrer_temps 2154.24 13 117
enregistrer_temps 2160 0 119
enregistrer_temps 2165.69 7 118
enregistrer_temps 2172.69 14 117
enregistrer_temps 2179.92 1 119
enregistrer_temps 2181.34 8 118
enregistrer_temps 2192.21 15 117
enregistrer_temps 2197.62 2 119
enregistrer_temps 2200.59 9 118
enregistrer_temps 2214.61 3 119
enregistrer_temps 2217.96 10 118
enregistrer_temps 2230.33 4 119
enregistrer_temps 2234.74 11 118
enregistrer_temps 2247.77 5 119
enregistrer_temps 2253.05 12 118
enregistrer_temps 2267.57 6 119
enregistrer_temps 2270.39 13 118
enregistrer_temps 2280 0 120
enregistrer_temps 2286.86 14 118
enregistrer_temps 2287.31 7 119
disqualification 1 120 
afficher_classement 1
enregistrer_temps 2305.01 8 119
enregistrer_temps 2306.66 15 118
enregistrer_temps 2322.43 9 119
enregistrer_temps 2341.53 10 119
enregistrer_temps 2358.94 11 119
enregistrer_temps 2377.48 12 119
enregistrer_temps 2396.88 13 119
enregistrer_temps 2400 0 121
enregistrer_temps 2413.59 14 119
enregistrer_temps 2415.38 1 121
enregistrer_temps 2432.76 15 119
enregistrer_temps 2433.5 2 121
enregistrer_temps 2452.99 3 121
enregistrer_temps 2470.26 4 121
enregistrer_temps 2486.09 5 121
enregistrer_temps 2502.25 6 121
enregistrer_temps 2520 0 122
enregistrer_temps 2520.83 7 121
disqualification 8 121 
afficher_classement 8
enregistrer_temps 2539.79 1 122
enregistrer_temps 2555.18 2 122
enregistrer_temps 2571.46 3 122
enregistrer_temps 2588.92 4 122
enregistrer_temps 2608.32 5 122
enregistrer_temps 2625.16 6 122
enregistrer_temps 2640 0 123
enregistrer_temps 2641.15 7 122
enregistrer_temps 2659.79 1 123
enregistrer_temps 2660.85 8 122
enregistrer_temps 2676.57 9 122
enregistrer_temps 2679.45 2 123
enregistrer_temps 2695.14 10 122
enregistrer_temps 2697.04 3 123
disqualification 4 123 
afficher_classement 4
enregistrer_temps 2712.45 11 122
enregistrer_temps 2729.13 12 122
disqualification 13 122 
afficher_classement 13
enregistrer_temps 2760 0 124
enregistrer_temps 2779.75 1 124
enregistrer_temps 2799.46 2 124
enregistrer_temps 2815.5 3 124
enregistrer_temps 2831.28 4 124
enregistrer_temps 2846.77 5 124
enregistrer_temps 2866.41 6 124
enregistrer_temps 2880 0 125
enregistrer_temps 2882.57 7 124
enregistrer_temps 2897.48 1 125
enregistrer_temps 2899.15 8 124
enregistrer_temps 2914.71 9 124
enregistrer_temps 2916.49 2 125
enregistrer_temps 2932.04 3 125
enregistrer_temps 2932.9 10 124
enregistrer_temps 2950.28 4 125
enregistrer_temps 2952.45 11 124
disqualification 5 125 
afficher_classement 5
enregistrer_temps 2971.2 12 124
enregistrer_temps 2986.46 13 124
enregistrer_temps 3002.4 14 124
enregistrer_temps 3019.32 15 124
exit

